"Aberdeen, SD",ABR
"Lewiston, ID",LWS
"Lewistown, MT",LWT
"Lexington, KY",LEX
"Lihue, HI",LIH
"Lincoln, NE",LNK
"Little Rock, AR",LIT
"Long Beach, CA",LGB
"Long Island, AK",LIJ
"Long Island, Islip, NY - Mac Arthur",ISP
"Longview/Kilgore, TX",GGG
"Los Angeles, CA - Int'l",LAX
"Louisville, KY",SDF
"Lubbock, TX",LBB
"Lynchburg, VA",LYH
"Macon, GA",MCN
"Madison, WI",MSN
"Manchester, NH",MHT
"Marathon, FL",MTH
"Marquette, MI",MQT
"Martha's Vineyard, MA",MVY
"Mason City, IA",MCW
"Mattoon, IL",MTO
"McAllen, TX",MFE
"Medford, OR",MFR
"Melbourne, FL",MLB
"Memphis, TN",MEM
"Merced, CA",MCE
"Meridian, MS",MEI
"Metlakatla, AK",MTM
"Miami, FL",MIA
"Midland/Odessa, TX",MAF
"Miles City, MT",MLS
"Milwaukee, WI",MKE
"Minneapolis - St. Paul Int'l Airport, MN",MSP
"Minot, ND",MOT
"Missula, MT",MSO
"Mitchell, SD",MHE
"Mobile, AL - Pascagoula, MS",MOB
"Modesto, CA",MOD
"Moline/Quad Cities, IL",MLI
"Monroe, La",MLU
"Monterey, CA",MRY
"Montgomery, AL",MGM
"Montrose/Tellruide, CO",MTJ
"Morgantown, WV",MGW
"Moses Lake, WA",MWH
"Mt. McKinley, AK",MCL
"Muscle Shoals, AL",MSL
"Muskegon, MI",MKG
"Myrtle Beach, SC",MYR
"Nantucket, MA",ACK
"Naples, FL",APF
"Nashville, TN",BNA
"New Bern, NC",EWN
"New Haven, CT",HVN
"New Orleans, La",MSY
"New York - John F. Kennedy, NY",JFK
"New York - La Guardia, NY",LGA
"New York - Newark, NJ",EWR
"New York, NY",NYC
"Newburgh, NY",SWF
"Newport News/Williamsburg, VA",PHF
Niagara Falls Int'l,IAG
"Nome, AK",OME
"Norfolk/Virginia Beach, VA",ORF
"North Bend, OR",OTH
"Oakland, CA",OAK
"Oklahoma City, OK - Will Rogers World",OKC
"Omaha, NE",OMA
"Ontario, CA",ONT
"Orange County (Santa Ana), CA",SNA
"Orlando Metropolitan Area, FL",ORL
"Oshkosh, WI",OSH
"Owensboro, KY",OWB
"Oxnard, CA",OXR
"Paducah, KY",PAH
"Page/Lake Powell, AZ",PGA
"Pakersburg, WV/Marietta, OH",PKB
"Palm Springs, CA",PSP
"Palmdale/Lancaster, CA",PMD
"Panama City, FL",PFN
"Pasco, WA",PSC
"Pellston, MI",PLN
"Pendelton, OR",PDT
"Pensacola, FL",PNS
"Peoria/Bloomington, IL",PIA
"Petersburg, AK",PSG
"Philadelphia, PA - Int'l",PHL
"Phoenix, AZ - Sky Harbor Int'l",PHX
"Pierre, SD",PIR
"Pittsburgh Int'l Airport, PA",PIT
"Plattsburgh, NY",PLB
"Pocatello, ID",PIH
"Port Angeles, WA",CLM
"Portland, ME",PWM
"Portland Int'l, OR",PDX
"Poughkeepsie, NY",POU
"Presque Island, ME",PQI
"Providence, RI",PVD
"Prudhoe Bay, AK",SCC
"Pueblo, CO",PUB
"Pullman, WA",PUW
"Quincy, IL",UIN
"Raleigh/Durham, NC",RDU
"Rapid City, SD",RAP
"Reading, PA",RDG
"Redding, CA",RDD
"Redmond, OR",RDM
"Reno, NV",RNO
"Rhinelander, WI",RHI
"Richmond, VA",RIC
"Roanoke, VA",ROA
"Rochester, MN",RST
"Rochester, NY",ROC
"Rock Springs, WY",RKS
"Rockford, IL",RFD
"Rockland, ME",RKD
"Rocky Mount - Wilson, NC",RWI
"Sacramento, CA",SMF
"Saginaw/Bay City/Midland, MI",MBS
"Salem, OR",SLE
"Salinas, CA",SNS
"Salisbury, MD",SBY
"Salt Lake City, UT",SLC
"San Angelo, TX",SJT
"San Antonio, TX",SAT
"San Diego - Lindberg Field Int'l, CA",SAN
"San Francisco - Int'l Airport, SA",SFO
"San Jose, CA",SJC
"San Luis Obisco, CA",SBP
"Santa Barbara, CA",SBA
"Santa Maria, CA",SMX
"Santa Rosa, CA",STS
"Sarasota/Bradenton, FL",SRQ
"Savannah, GA",SAV
"Scottsdale, AZ",SCF
"Seattle/Tacoma, WA",SEA
"Shenandoah Valley/Stauton, VA",SHD
"Sheridan, WY",SHR
"Shreveport, La",SHV
"Sidney, MT",SDY
"Sioux City, IA",SUX
"Sioux Falls, SD",FSD
"Sitka, AK",SIT
"Skagway, AK",SGY
"South Bend, IN",SBN
"Spokane, WA",GEG
"Springfield, IL",SPI
"Springfield, MO",SGF
"St. George, UT",SGU
"St. Louis - Lambert, MO",STL
"State College/Belefonte, PA",SCE
"Steamboat Springs, CO",HDN
"Stockton, CA",SCK
"Sun Valley, ID",SUN
"Syracuse, NY",SYR
"Talkeetna, AK",TKA
"Tallahassee, FL",TLH
"Tampa Int'l, FL",TPA
"Telluride, CO",TEX
"Terre Haute, IN",HUF
"Texarkana, AR",TXK
"Thief River Falls, MN",TVF
"Thorne Bay, AK",KTB
"Toledo, OH",TOL
"Traverse City, MI",TVC
"Trenton/Princeton, NJ",TTN
"Tri-Cities Regional, TN/VA",TRI
"Tucson, AZ",TUS
"Tulepo, MS",TUP
"Tulsa, OK",TUL
"Tuscaloosa, AL",TCL
"Twin Falls, ID",TWF
"Tyler, TX",TYR
"Utica, NY",UCA
"Vail, CO",EGE
"Valdez, AK",VDZ
"Valdosta, GA",VLD
"Vernal, UT",VEL
"Vero Beach/Ft. Pierce, FL",VRB
"Visalia, CA",VIS
"Waco, TX",ACT
"Walla Walla, WA",ALW
Washington DC - Baltimore Washington Int'l,BWI
Washington DC - Dulles Int'l,IAD
Washington DC - Ronald Reagan National,DCA
"Washington, DC",WAS
"Waterloo, IA",ALO
"Watertown, SD",ATY
"Wausau/Stevens Point, WI",CWA
"Wenatchee, WA",EAT
"West Palm Beach, FL",PBI
"West Yellowstone, MT",WYS
"White Plains, NY",HPN
"Wichita Falls, TX",SPS
"Wichita, KS",ICT
"Wilkes Barre/Scranton, PA",AVP
"Williamsport, PA",IPT
"Williston, ND",ISL
"Wilmington, NC",ILM
"Wolf Point, MT",OLF
"Worcester, MA",ORH
"Worland, WY",WRL
"Wrangell, AK",WRG
"Yakima, WA",YKM
"Yakutat, AK",YAK
"Yuma, AZ",YUM
Samarkand,SKD
Tashkent - Vostochny,TAS
Termez (Termes),TMZ
Port Vila,VLI
Santo,SON
Barcelona,BLA
Caracas,CCS
Maracaibo - La Chinita,MAR
Margerita,PMV
Puerto Ordaz,PZO
Valencia,VLN
Hanoi - Noibai,HAN
Ho Chi Minh City (Saigon),SGN
Hue - Phu Bai,HUI
Saigon (Ho Chi Minh City),SGN
St. Croix,STX
St. Thomas,STT
Tortola,EIS
Virgin Gorda,VIJ
Beef Island,EIS
Futuna,FUT
Wallis,WLS
Urumqi,URC
Aden,ADE
Sanaa (Sana'a) - Sana'a International,SAH
Belgrad (Beograd),BEG
Nis,INI
Novi Sad,QND
Podgorica,TGD
Pristina,PRN
Tivat,TIV
Kisangani,FKI
Lumbumbashi,FBM
Chipata,CIP
Kitwe,KIW
Lusaka,LUN
Mfuwe,MFU
N'Dola,NLA
Hangchow (Hangzhou),HGH
Buffalo Range,BFO
Bulawayo,BUQ
Gweru,GWE
Harare,HRE
Hwange National Park,HWN
Masvingo,MVZ
Salisbury,SAY
Victoria Falls,VFA
